"	Bremerhaven	Brunsb¸ttel	Emden	Hamburg	Kiel	L¸beck	Rostock	Sassnitz	Stralsund	Wilhelmshaven	Wismar	Antwerpen	Rotterdam	Aarhus	Copenhagen	Bornholm	Gdansk	Klaipeda	Riga	Tallinn	Helsinki	Oulu	Mariehamn	Stockholm	Visby	St. Petersburg	Gothenburg	Bergen	Oslo	Stavanger	Aberdeen	Immingham	London	Calais	Le Havre"
"Bremerhaven	0		137		135																										435				"
"Brunsb¸ttel	81	0		36	54								269	187	216	223	398		604																"
"Emden	137		0																																"
"Hamburg	117	36		0	90	187	174	145		114	176	405	305	223	252	259	434		640	700	721	999		587		868				408	481	376	428		"
"Kiel	135				0				109				323											497											"
"L¸beck						0			93																										"
"Rostock							0																												"
"Sassnitz					145		92	0						204	97	52	213	271	497	497	517		415	388	262	661									"
"Stralsund									0																										"
"Wilhelmshaven										0																									"
"Wismar	585	140		176	86						0		713	160	139	145	327	377	530	590															"
"Antwerpen												0	149																						"
"Rotterdam	255				323								0		608				1077									536						129	"
"Aarhus														0																					"
"Copenhagen															0												137								"
"Bornholm																0																			"
"Gdansk																	0																		"
"Klaipeda																		0																	"
"Riga								497											0																"
"Tallinn																				0															"
"Helsinki																					0														"
"Oulu																						0													"
"Mariehamn																								0												"
"Stockholm																								0		385									"
"Visby																									0										"
"St. Petersburg																								385		0									"
"Gothenburg																											0		163						"
"Bergen																												0	378						"
"Oslo																													0						"
"Stavanger																														0					"
"Aberdeen																															0		431		"
"Immingham																																0			"
"London																																	0		"
"Calais																																		0	119"
"Le Havre																																			0"